"region_id","region_name","sam_region_id"
"1","ARMM","1"
"2","BICOL REGION","4"
"3","CAGAYAN VALLEY","3"
"4","CALABARZON","4"
"5","CAR","3"
"6","CARAGA","1"
"7","CENTRAL LUZON","3"
"8","CENTRAL VISAYAS","5"
"9","DAVAO REGION","1"
"10","EASTERN VISAYAS","5"
"11","ILOCOS REGION","3"
"12","MANILA","2"
"13","METRO MANILA","2"
"14","MIMAROPA REGION","4"
"15","NORTHERN MIN","1"
"16","RIZAL","2"
"17","SOCCSKSARGEN","1"
"18","WESTERN VISAYAS","5"
"19","ZAMBOANGA PENINSULA","1"
