NOMINATION_ID,NOMINATION_ID
3GS-EXP20-0001,3GS-EXP20-0001
3GS-EXP20-0070,3GS-EXP20-0070
3GS-EXP20-0102,3GS-EXP20-0102
3GS-EXP20-0106,3GS-EXP20-0106
3GS-EXP20-0146,3GS-EXP20-0146
3GS-EXP20-0217,3GS-EXP20-0217
3GS-EXP20-0324,3GS-EXP20-0324
3GS-EXP20-0670,3GS-EXP20-0670
3GS-EXP20-0681,3GS-EXP20-0681
3GS-EXP20-0744,3GS-EXP20-0744
3GS-EXP20-0748,3GS-EXP20-0748
3GS-EXP20-0763,3GS-EXP20-0763
3GS-EXP20-0777,3GS-EXP20-0777
3GS-EXP20-0842,3GS-EXP20-0842
3GS-EXP20-0917,3GS-EXP20-0917
3GS-EXP20-0939,3GS-EXP20-0939
3GS-EXP20-10075,3GS-EXP20-10075
3GS-EXP20-10076,3GS-EXP20-10076
3GS-EXP20-10077,3GS-EXP20-10077
3GS-EXP20-10088,3GS-EXP20-10088
3GS-EXP20-10100,3GS-EXP20-10100
3GS-EXP20-10101,3GS-EXP20-10101
3GS-EXP20-10145,3GS-EXP20-10145
3GS-EXP20-10214,3GS-EXP20-10214
3GS-EXP20-10217,3GS-EXP20-10217
3GS-EXP20-10293,3GS-EXP20-10293
3GS-EXP20-10294,3GS-EXP20-10294
3GS-EXP20-10295,3GS-EXP20-10295
3GS-EXP20-10297,3GS-EXP20-10297
3GS-EXP20-10359,3GS-EXP20-10359
3GS-EXP20-10360,3GS-EXP20-10360
3GS-EXP20-10414,3GS-EXP20-10414
3GS-EXP20-10415,3GS-EXP20-10415
3GS-EXP20-10452,3GS-EXP20-10452
3GS-EXP20-10453,3GS-EXP20-10453
3GS-EXP20-10458,3GS-EXP20-10458
3GS-EXP20-10459,3GS-EXP20-10459
3GS-EXP20-10460,3GS-EXP20-10460
3GS-EXP20-1078,3GS-EXP20-1078
3GS-EXP20-1084,3GS-EXP20-1084
3GS-EXP20-1090,3GS-EXP20-1090
3GS-EXP20-11077,3GS-EXP20-11077
3GS-EXP20-11078,3GS-EXP20-11078
3GS-EXP20-1109,3GS-EXP20-1109
3GS-EXP20-11443,3GS-EXP20-11443
3GS-EXP20-11444,3GS-EXP20-11444
3GS-EXP20-12073,3GS-EXP20-12073
3GS-EXP20-12074,3GS-EXP20-12074
3GS-EXP20-12157,3GS-EXP20-12157
3GS-EXP20-12158,3GS-EXP20-12158
3GS-EXP20-12189,3GS-EXP20-12189
3GS-EXP20-12190,3GS-EXP20-12190
3GS-EXP20-1256,3GS-EXP20-1256
3GS-EXP20-1298,3GS-EXP20-1298
3GS-EXP20-1314,3GS-EXP20-1314
3GS-EXP20-1345,3GS-EXP20-1345
3GS-EXP20-1370,3GS-EXP20-1370
3GS-EXP20-1376,3GS-EXP20-1376
3GS-EXP20-1390,3GS-EXP20-1390
3GS-EXP20-1411,3GS-EXP20-1411
3GS-EXP20-1438,3GS-EXP20-1438
3GS-EXP20-1485,3GS-EXP20-1485
3GS-EXP20-1530,3GS-EXP20-1530
3GS-EXP20-1572,3GS-EXP20-1572
3GS-EXP20-1584,3GS-EXP20-1584
3GS-EXP20-1599,3GS-EXP20-1599
3GS-EXP20-1608,3GS-EXP20-1608
3GS-EXP20-1633,3GS-EXP20-1633
3GS-EXP20-1639,3GS-EXP20-1639
3GS-EXP20-1652,3GS-EXP20-1652
3GS-EXP20-1661,3GS-EXP20-1661
